STATEFP,COUNTYFP,NAME,GEOID
29,197,Schuyler,28860
29,201,Scott,43460
30,13,Cascade,24500
30,31,Gallatin,14580
30,49,Lewis and Clark,25740
32,1,Churchill,21980
32,3,Clark,29820
33,7,Coos,13620
33,15,Rockingham,14460
33,17,Strafford,14460
34,1,Atlantic,12100
34,5,Burlington,37980
34,15,Gloucester,37980
34,19,Hunterdon,35620
34,21,Mercer,45940
34,25,Monmouth,35620
34,29,Ocean,35620
34,35,Somerset,35620
22,45,Iberia,29180
22,53,Jefferson Davis,27660
22,55,Lafayette,29180
6,55,Napa,34900
6,59,Orange,31080
6,69,San Benito,41940
6,73,San Diego,41740
6,79,San Luis Obispo,42020
6,83,Santa Barbara,42200
6,97,Sonoma,42220
6,101,Sutter,49700
6,107,Tulare,47300
6,113,Yolo,40900
8,19,Clear Creek,19740
8,31,Denver,19740
8,37,Eagle,20780
1,49,DeKalb,22840
1,63,Greene,46220
1,95,Marshall,10700
1,101,Montgomery,33860
1,107,Pickens,46220
1,115,St. Clair,13820
4,5,Coconino,22380
4,9,Graham,40940
4,13,Maricopa,38060
54,5,Boone,16620
54,39,Kanawha,16620
54,45,Logan,34350
54,107,Wood,37620
55,43,Grant,38420
12,86,Miami-Dade,33100
12,93,Okeechobee,36380
12,97,Osceola,36740
13,21,Bibb,31420
13,29,Bryan,42340
40,13,Bryan,20460
40,27,Cleveland,36420
40,125,Pottawatomie,43060
40,135,Sequoyah,22900
40,143,Tulsa,46140
27,13,Blue Earth,31860
27,61,Itasca,24330
27,75,Lake,20260
27,171,Wright,33460
28,1,Adams,35020
28,11,Bolivar,17380
28,29,Copiah,27140
28,43,Grenada,24980
28,83,Leflore,24900
28,87,Lowndes,18060
28,121,Rankin,27140
35,15,Eddy,16100
35,39,Rio Arriba,21580
35,45,San Juan,22140
35,55,Taos,45340
36,103,Suffolk,35620
36,119,Westchester,35620
36,123,Yates,40380
37,13,Beaufort,47820
37,23,Burke,25860
37,37,Chatham,20500
37,53,Currituck,47260
37,57,Davidson,49180
37,65,Edgecombe,40580
37,85,Harnett,22180
37,89,Henderson,11700
37,103,Jones,35100
37,115,Madison,11700
42,99,Perry,25420
42,103,Pike,35620
42,133,York,49620
48,449,Titus,34420
48,453,Travis,12420
48,473,Waller,26420
48,479,Webb,29700
49,45,Tooele,41620
49,47,Uintah,46860
49,51,Wasatch,25720
50,17,Orange,30100
50,27,Windsor,30100
51,7,Amelia,40060
51,19,Bedford,31340
51,23,Botetourt,40220
51,36,Charles City,40060
51,41,Chesterfield,40060
51,67,Franklin,40220
51,95,James City,47260
51,107,Loudoun,47900
51,127,New Kent,40060
51,143,Pittsylvania,19260
51,165,Rockingham,25500
51,175,Southampton,47260
51,179,Stafford,47900
51,187,Warren,47900
53,53,Pierce,42660
53,61,Snohomish,42660
53,71,Walla Walla,47460
53,73,Whatcom,13380
54,17,Doddridge,17220
54,19,Fayette,13220
54,27,Hampshire,49020
54,33,Harrison,17220
54,37,Jefferson,47900
54,43,Lincoln,16620
54,65,Morgan,25180
54,81,Raleigh,13220
37,133,Onslow,27340
37,137,Pamlico,35100
37,153,Richmond,40460
37,161,Rutherford,22580
38,59,Morton,13900
22,67,Morehouse,33740
22,69,Natchitoches,35060
22,79,Rapides,10780
22,97,St. Landry,36660
22,113,Vermilion,29180
22,117,Washington,14220
8,93,Park,19740
9,1,Fairfield,14860
9,7,Middlesex,25540
9,11,New London,35980
10,5,Sussex,41540
12,33,Escambia,37860
12,41,Gilchrist,23540
12,53,Hernando,45300
12,71,Lee,15980
19,27,Carroll,16140
19,75,Grundy,47940
19,113,Linn,16300
19,195,Worth,32380
20,143,Ottawa,41460
21,5,Anderson,23180
21,29,Bullitt,31140
21,43,Carter,26580
21,49,Clark,30460
21,125,Laurel,30940
21,139,Livingston,37140
55,37,Florence,27020
55,69,Lincoln,48140
55,75,Marinette,31940
55,111,Sauk,12660
41,7,Clatsop,11820
41,17,Deschutes,13460
41,19,Douglas,40700
41,65,Wasco,45520
42,3,Allegheny,38300
42,27,Centre,44300
42,33,Clearfield,20180
42,41,Cumberland,25420
42,45,Delaware,37980
42,51,Fayette,38300
42,61,Huntingdon,26500
42,71,Lancaster,29540
42,89,Monroe,20700
42,95,Northampton,10900
51,87,Henrico,40060
53,77,Yakima,49420
45,27,Clarendon,44940
45,47,Greenwood,24940
1,43,Cullman,18980
45,71,Newberry,35140
1,33,Colbert,22520
4,7,Gila,37740
6,39,Madera,31460
8,43,Fremont,15860
12,69,Lake,36740
12,129,Wakulla,45220
13,219,Oconee,12020
16,69,Nez Perce,30300
18,71,Jackson,42980
21,3,Allen,14540
21,51,Clay,30940
21,165,Menifee,34460
47,57,Grainger,34100
8,97,Pitkin,24060
22,17,Caddo,43340
22,115,Vernon,22860
29,19,Boone,17860
37,29,Camden,47260
46,117,Stanley,38180
39,47,Fayette,47920
39,61,Hamilton,17140
39,95,Lucas,45780
45,55,Kershaw,17900
45,59,Laurens,24860
45,69,Marlboro,13500
45,73,Oconee,42860
45,83,Spartanburg,43900
6,95,Solano,46700
8,35,Douglas,19740
10,3,New Castle,37980
12,113,Santa Rosa,37860
13,79,Crawford,31420
13,135,Gwinnett,12060
47,107,McMinn,11940
47,117,Marshall,30280
47,143,Rhea,19420
47,155,Sevier,42940
47,157,Shelby,32820
47,165,Sumner,34980
47,167,Tipton,32820
47,189,Wilson,34980
48,1,Anderson,37300
48,5,Angelina,31260
48,29,Bexar,41700
48,37,Bowie,45500
48,51,Burleson,17780
48,57,Calhoun,38920
48,91,Comal,41700
48,187,Guadalupe,41700
48,215,Hidalgo,32580
48,273,Kleberg,28780
48,301,Loving,37780
48,339,Montgomery,26420
48,349,Navarro,18620
46,127,Union,43580
47,13,Campbell,28940
47,21,Cheatham,34980
47,31,Coffee,46100
47,35,Cumberland,18900
47,37,Davidson,34980
47,65,Hamilton,16860
47,89,Jefferson,34100
56,13,Fremont,40180
5,57,Hempstead,26260
40,113,Osage,46140
41,15,Curry,15060
42,49,Erie,21500
42,101,Philadelphia,37980
45,57,Lancaster,16740
45,87,Union,46420
47,53,Gibson,27180
47,163,Sullivan,28700
48,135,Ector,36220
48,203,Harrison,30980
48,323,Maverick,20580
48,409,San Patricio,18580
48,465,Val Verde,19620
49,7,Carbon,39220
51,89,Henry,32300
53,11,Clark,38900
53,45,Mason,43220
13,261,Sumter,11140
22,111,Union,33740
37,105,Lee,41820
37,125,Moore,38240
20,149,Pottawatomie,31740
22,5,Ascension,12940
22,15,Bossier,43340
22,37,East Feliciana,12940
22,91,St. Helena,12940
22,109,Terrebonne,26380
24,47,Worcester,41540
26,55,Grand Traverse,45900
27,15,Brown,35580
27,167,Wilkin,47420
28,51,Holmes,27140
29,13,Bates,28140
29,95,Jackson,28140
35,33,Mora,29780
36,59,Nassau,35620
40,117,Pawnee,46140
42,43,Dauphin,25420
42,97,Northumberland,44980
45,15,Berkeley,16700
47,9,Blount,28940
47,129,Morgan,28940
48,65,Carson,11100
48,157,Fort Bend,26420
12,57,Hillsborough,45300
12,89,Nassau,27260
13,25,Brantley,15260
39,167,Washington,31930
18,7,Benton,29200
21,123,Larue,21060
21,209,Scott,30460
22,105,Tangipahoa,25220
26,7,Alpena,10980
54,83,Randolph,21180
53,27,Grays Harbor,10140
5,119,Pulaski,30780
25,5,Bristol,39300
22,43,Grant,10780
10,1,Kent,20100
12,75,Levy,23540
27,21,Cass,14660
28,89,Madison,27140
30,43,Jefferson,25740
34,27,Morris,35620
36,75,Oswego,45060
37,21,Buncombe,11700
37,107,Lenoir,28820
37,145,Person,20500
37,193,Wilkes,35900
41,47,Marion,41420
28,109,Pearl River,38100
29,27,Callaway,27620
30,9,Carbon,13740
34,31,Passaic,35620
35,17,Grant,43500
36,9,Cattaraugus,36460
36,61,New York,35620
36,71,Orange,39100
37,101,Johnston,39580
37,131,Northampton,40260
37,159,Rowan,16740
37,183,Wake,39580
44,9,Washington,39300
45,3,Aiken,12260
45,7,Anderson,24860
45,17,Calhoun,17900
45,35,Dorchester,16700
45,41,Florence,22500
45,45,Greenville,24860
45,51,Horry,34820
30,93,Silver Bow,15580
37,51,Cumberland,22180
37,139,Pasquotank,21020
47,45,Dyer,20540
47,127,Moore,46100
51,195,Wise,13720
54,99,Wayne,26580
1,9,Blount,13820
1,47,Dallas,42820
6,53,Monterey,41500
6,99,Stanislaus,33700
12,105,Polk,29460
16,41,Franklin,30860
18,21,Clay,45460
48,175,Goliad,47020
51,113,Madison,47900
53,33,King,42660
53,57,Skagit,34580
18,125,Pike,27540
27,103,Nicollet,31860
1,61,Geneva,20020
1,15,Calhoun,11500
21,235,Whitley,30940
22,57,Lafourche,26380
47,145,Roane,28940
47,183,Weakley,32280
48,41,Brazos,17780
48,341,Moore,20300
49,5,Cache,30860
49,23,Juab,39340
51,157,Rappahannock,47900
53,75,Whitman,39420
56,33,Sheridan,43260
56,39,Teton,27220
5,85,Lonoke,30780
6,89,Shasta,39820
8,5,Arapahoe,19740
1,73,Jefferson,13820
1,129,Washington,33660
42,131,Wyoming,42540
45,21,Cherokee,23500
27,137,St. Louis,20260
28,137,Tate,32820
34,9,Cape May,36140
37,19,Brunswick,34820
37,147,Pitt,24780
37,173,Swain,19000
5,145,White,42620
47,119,Maury,34980
47,147,Robertson,34980
48,15,Austin,26420
48,277,Lamar,37580
48,469,Victoria,47020
49,57,Weber,36260
51,3,Albemarle,16820
51,31,Campbell,31340
51,59,Fairfax,47900
51,121,Montgomery,13980
51,155,Pulaski,13980
53,67,Thurston,36500
54,57,Mineral,19060
41,3,Benton,18700
42,55,Franklin,16540
44,7,Providence,39300
13,215,Muscogee,17980
16,13,Blaine,25200
16,31,Cassia,15420
24,15,Cecil,37980
24,39,Somerset,41540
17,7,Boone,40420
18,53,Grant,31980
21,11,Bath,34460
21,67,Fayette,30460
21,101,Henderson,21780
22,77,Pointe Coupee,12940
22,103,St. Tammany,35380
8,69,Larimer,22660
27,67,Kandiyohi,48820
27,119,Polk,24220
21,89,Greenup,26580
26,89,Leelanau,45900
32,31,Washoe,39900
47,105,Loudon,28940
17,3,Alexander,16020
19,163,Scott,19340
22,63,Livingston,12940
22,101,St. Mary,34020
8,117,Summit,14720
13,31,Bulloch,44340
39,123,Ottawa,45780
40,101,Muskogee,34780
27,145,Stearns,41060
28,49,Hinds,27140
32,11,Eureka,21220
34,33,Salem,37980
36,113,Warren,24020
37,31,Carteret,33980
38,35,Grand Forks,24220
39,55,Geauga,17460
47,93,Knox,28940
1,71,Jackson,42460
48,61,Cameron,15180
1,21,Chilton,13820
4,23,Santa Cruz,35700
5,53,Grant,30780
1,103,Morgan,19460
48,389,Reeves,37780
51,93,Isle of Wight,47260
53,21,Franklin,28420
5,69,Jefferson,38220
5,107,Phillips,25760
6,41,Marin,41860
6,77,San Joaquin,44700
8,1,Adams,19740
1,97,Mobile,33660
48,401,Rusk,30980
48,459,Upshur,30980
51,101,King William,40060
51,191,Washington,28700
54,3,Berkeley,25180
42,17,Bucks,37980
4,21,Pinal,38060
13,113,Fayette,12060
13,151,Henry,12060
13,191,McIntosh,15260
24,27,Howard,12580
5,135,Sharp,12900
9,5,Litchfield,45860
9,13,Tolland,25540
12,115,Sarasota,35840
5,101,Newton,25460
5,105,Perry,30780
5,115,Pope,40780
5,5,Baxter,34260
5,9,Boone,25460
8,39,Elbert,19740
8,59,Jefferson,19740
1,37,Coosa,10760
8,101,Pueblo,39380
1,17,Chambers,29300
13,63,Clayton,12060
13,159,Jasper,12060
6,31,Kings,25260
6,35,Lassen,45000
6,75,San Francisco,41860
13,3,Atkinson,20060
12,35,Flagler,19660
12,87,Monroe,28580
12,109,St. Johns,27260
12,111,St. Lucie,38940
5,149,Yell,40780
6,25,Imperial,20940
6,61,Placer,40900
6,109,Tuolumne,43760
13,117,Forsyth,12060
13,169,Jones,31420
13,197,Marion,17980
17,67,Hancock,22800
17,183,Vermilion,19180
13,59,Clarke,12020
13,69,Coffee,20060
13,83,Dade,16860
13,145,Harris,17980
13,53,Chattahoochee,17980
17,73,Henry,19340
17,97,Lake,16980
17,63,Grundy,16980
16,51,Jefferson,26820
16,65,Madison,39940
13,257,Stephens,45740
17,11,Bureau,36837
18,99,Marshall,38500
13,295,Walker,16860
18,3,Allen,23060
17,107,Logan,30660
17,115,Macon,19500
17,121,Marion,16460
17,131,Mercer,19340
13,233,Polk,16340
13,239,Quitman,21640
18,31,Decatur,24700
18,37,Dubois,27540
18,41,Fayette,18220
18,65,Henry,35220
18,85,Kosciusko,47700
18,91,LaPorte,33140
18,109,Morgan,26900
16,19,Bonneville,26820
16,45,Gem,14260
17,29,Coles,16660
19,17,Bremer,47940
18,95,Madison,26900
18,97,Marion,26900
17,177,Stephenson,23300
16,75,Payette,36620
17,5,Bond,41180
19,103,Johnson,26980
19,127,Marshall,32260
20,111,Lyon,21380
20,113,McPherson,32700
19,41,Clay,43980
18,17,Cass,30900
20,57,Ford,19980
18,115,Ohio,17140
18,119,Owen,14020
18,121,Parke,45460
20,91,Johnson,28140
19,49,Dallas,19780
18,133,Putnam,26900
18,157,Tippecanoe,29200
18,111,Newton,16980
17,21,Christian,45380
20,85,Jackson,45820
19,169,Story,11180
20,9,Barton,24460
20,15,Butler,48620
20,43,Doniphan,41140
40,45,Ellis,49260
48,309,McLennan,47380
48,355,Nueces,18580
51,720,Norton,13720
51,740,Portsmouth,47260
18,143,Scott,42500
18,171,Warren,29200
18,177,Wayne,39980
51,810,Virginia Beach,47260
20,87,Jefferson,45820
53,59,Skamania,38900
54,11,Cabell,26580
23,11,Kennebec,12300
24,19,Dorchester,15700
24,25,Harford,12580
24,35,Queen Anne's,12580
25,9,Essex,14460
38,101,Ward,33500
25,3,Berkshire,38340
25,11,Franklin,44140
25,21,Norfolk,14460
26,165,Wexford,15620
42,73,Lawrence,35260
42,83,McKean,14620
48,441,Taylor,10180
48,451,Tom Green,41660
47,115,Marion,16860
47,125,Montgomery,17300
51,153,Prince William,47900
46,35,Davison,33580
51,75,Goochland,40060
39,159,Union,18140
48,145,Falls,47380
36,57,Montgomery,11220
36,67,Onondaga,45060
27,157,Wabasha,40340
26,23,Branch,17740
37,1,Alamance,15500
17,43,DuPage,16980
40,131,Rogers,46140
36,19,Clinton,38460
31,51,Dixon,43580
47,87,Jackson,18260
28,23,Clarke,32940
48,485,Wichita,48660
48,489,Willacy,39700
21,83,Graves,32460
26,27,Cass,43780
30,95,Stillwater,13740
36,73,Orleans,40380
48,49,Brown,15220
13,273,Terrell,10500
45,81,Saluda,17900
46,5,Beadle,26700
46,11,Brookings,15100
29,21,Buchanan,41140
26,37,Clinton,29620
40,33,Cotton,30020
12,31,Duval,27260
12,119,Sumter,45540
13,73,Columbia,12260
55,105,Rock,27500
41,11,Coos,18300
51,79,Greene,16820
32,13,Humboldt,49080
27,95,Mille Lacs,33460
27,109,Olmsted,40340
54,49,Marion,21900
55,73,Marathon,48140
17,137,Morgan,27300
42,121,Venango,36340
44,1,Bristol,39300
48,107,Crosby,31180
39,99,Mahoning,49660
39,103,Medina,17460
41,27,Hood River,26220
41,49,Morrow,25840
49,21,Iron,16260
56,41,Uinta,21740
51,11,Appomattox,31340
21,113,Jessamine,30460
41,59,Umatilla,25840
40,17,Canadian,36420
56,45,Weston,23940
