GEOID,NAME,LSAD
"27780","Johnstown, PA",M1
"40780","Russellville, AR",M2
"29940","Lawrence, KS",M1
"27160","Jackson, OH",M2
"31060","Los Alamos, NM",M2
"16100","Carlsbad-Artesia, NM",M2
"35820","North Platte, NE",M2
"20740","Eau Claire, WI",M1
"38460","Plattsburgh, NY",M2
"40540","Rock Springs, WY",M2
"23940","Gillette, WY",M2
"31500","Madison, IN",M2
"11740","Ashland, OH",M2
"18660","Cortland, NY",M2
"35420","New Philadelphia-Dover, OH",M2
"25260","Hanford-Corcoran, CA",M1
"26300","Hot Springs, AR",M1
"47940","Waterloo-Cedar Falls, IA",M1
"15700","Cambridge, MD",M2
"11780","Ashtabula, OH",M2
"11460","Ann Arbor, MI",M1
"37770","Pearsall, TX",M2
"17580","Clovis, NM",M2
"24700","Greensburg, IN",M2
"42500","Scottsburg, IN",M2
"44580","Sterling, IL",M2
"42780","Selinsgrove, PA",M2
"43940","Spearfish, SD",M2
"31380","Macomb, IL",M2
"35440","Newport, OR",M2
"42140","Santa Fe, NM",M1
"30580","Liberal, KS",M2
"16260","Cedar City, UT",M2
"15940","Canton-Massillon, OH",M1
"18500","Corning, NY",M2
"45300","Tampa-St. Petersburg-Clearwater, FL",M1
"12180","Auburn, NY",M2
"35260","New Castle, PA",M2
"37660","Parsons, KS",M2
"34260","Mountain Home, AR",M2
"38780","Portales, NM",M2
"32500","Maysville, KY",M2
"27300","Jacksonville, IL",M2
"10860","Alice, TX",M2
"27100","Jackson, MI",M1
"45000","Susanville, CA",M2
"30300","Lewiston, ID-WA",M1
"31900","Mansfield, OH",M1
"25620","Hattiesburg, MS",M1
"18780","Craig, CO",M2
"16300","Cedar Rapids, IA",M1
"28300","Keene, NH",M2
"40660","Rome, GA",M1
"26540","Huntington, IN",M2
"14010","Bloomington, IL",M1
"45020","Sweetwater, TX",M2
"30780","Little Rock-North Little Rock-Conway, AR",M1
"41700","San Antonio-New Braunfels, TX",M1
"12460","Bainbridge, GA",M2
"22100","Farmington, MO",M2
"34540","Mount Vernon, OH",M2
"29740","Las Cruces, NM",M1
"31620","Magnolia, AR",M2
"24460","Great Bend, KS",M2
"22620","Forrest City, AR",M2
"32260","Marshalltown, IA",M2
"22780","Fort Leonard Wood, MO",M2
"19700","Deming, NM",M2
"41460","Salina, KS",M2
"11860","Atchison, KS",M2
"30060","Lebanon, MO",M2
"18300","Coos Bay, OR",M2
"46060","Tucson, AZ",M1
"44740","Storm Lake, IA",M2
"24260","Grand Island, NE",M1
"37460","Panama City, FL",M1
"25300","Hannibal, MO",M2
"14380","Boone, NC",M2
"15020","Brookhaven, MS",M2
"43420","Sierra Vista-Douglas, AZ",M1
"37800","Pella, IA",M2
"24820","Greenville, OH",M2
"28100","Kankakee, IL",M1
"46500","Urbana, OH",M2
"49300","Wooster, OH",M2
"45700","Tifton, GA",M2
"35380","New Orleans-Metairie, LA",M1
"33500","Minot, ND",M2
"42680","Sebastian-Vero Beach, FL",M1
"18220","Connersville, IN",M2
"19430","Dayton-Kettering, OH",M1
"27860","Jonesboro, AR",M1
"46820","Vermillion, SD",M2
"43300","Sherman-Denison, TX",M1
"25700","Hays, KS",M2
"16580","Champaign-Urbana, IL",M1
"30260","Lewisburg, PA",M2
"16140","Carroll, IA",M2
"42300","Sault Ste. Marie, MI",M2
"43140","Shelby, NC",M2
"33620","Moberly, MO",M2
"31220","Ludington, MI",M2
"49460","Yankton, SD",M2
"43700","Somerset, KY",M2
"23700","Gallup, NM",M2
"23380","Fremont, OH",M2
"46620","Uvalde, TX",M2
"43980","Spencer, IA",M2
"41400","Salem, OH",M2
"38340","Pittsfield, MA",M1
"16180","Carson City, NV",M1
"35740","Norfolk, NE",M2
"24540","Greeley, CO",M1
"39540","Racine, WI",M1
"42900","Seneca Falls, NY",M2
"12860","Batavia, NY",M2
"31660","Malone, NY",M2
"15420","Burley, ID",M2
"10100","Aberdeen, SD",M2
"32460","Mayfield, KY",M2
"12120","Atmore, AL",M2
"35220","New Castle, IN",M2
"22700","Fort Dodge, IA",M2
