GEOID,NAME,LSAD
"21340","El Paso, TX",M1
"16220","Casper, WY",M1
"20260","Duluth, MN-WI",M1
"24620","Greeneville, TN",M2
"22860","Fort Polk South, LA",M2
"20660","Easton, MD",M2
"36700","Orangeburg, SC",M2
"43900","Spartanburg, SC",M1
"15980","Cape Coral-Fort Myers, FL",M1
"43740","Somerset, PA",M2
"41060","St. Cloud, MN",M1
"27700","Jesup, GA",M2
"41820","Sanford, NC",M2
"31580","Madisonville, KY",M2
"40940","Safford, AZ",M2
"22660","Fort Collins, CO",M1
"14220","Bogalusa, LA",M2
"36460","Olean, NY",M2
"41780","Sandusky, OH",M2
"10620","Albemarle, NC",M2
"15680","California-Lexington Park, MD",M1
"13740","Billings, MT",M1
"13780","Binghamton, NY",M1
"38180","Pierre, SD",M2
"44700","Stockton, CA",M1
"42340","Savannah, GA",M1
"37780","Pecos, TX",M2
"18580","Corpus Christi, TX",M1
"29380","Lake City, FL",M2
"21180","Elkins, WV",M2
"47220","Vineland-Bridgeton, NJ",M1
"25180","Hagerstown-Martinsburg, MD-WV",M1
"23500","Gaffney, SC",M2
"31020","Longview, WA",M1
"21060","Elizabethtown-Fort Knox, KY",M1
"28340","Kendallville, IN",M2
"32280","Martin, TN",M2
"43260","Sheridan, WY",M2
"47460","Walla Walla, WA",M1
"29020","Kokomo, IN",M1
"42980","Seymour, IN",M2
"19620","Del Rio, TX",M2
"13300","Beeville, TX",M2
"23180","Frankfort, KY",M2
"35580","New Ulm, MN",M2
"26340","Houghton, MI",M2
"46420","Union, SC",M2
"35020","Natchez, MS-LA",M2
"38420","Platteville, WI",M2
"15060","Brookings, OR",M2
"27600","Jefferson, GA",M2
"14740","Bremerton-Silverdale-Port Orchard, WA",M1
"43220","Shelton, WA",M2
"33540","Missoula, MT",M1
"20980","El Dorado, AR",M2
"21540","Escanaba, MI",M2
"29540","Lancaster, PA",M1
"43620","Sioux Falls, SD",M1
"12260","Augusta-Richmond County, GA-SC",M1
"20500","Durham-Chapel Hill, NC",M1
"16860","Chattanooga, TN-GA",M1
"22840","Fort Payne, AL",M2
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV",M1
"12060","Atlanta-Sandy Springs-Alpharetta, GA",M1
